account,allocation
pi-gavoth,3610560.0
pi-roux,3500000.0
pi-foster,2100000.0
pi-depablo,2000000.0
pi-joshuaelliott,1500000.0
pi-drowley,1500000.0
pi-dbiron,1400000.0
pi-freed,1100000.0
pi-mfj,1100000.0
pi-jaredlewis,1069611.0
pi-dachxiu,1050000.0
pi-ebudish,1000000.0
pi-dinner,1000000.0
pi-hortacsu,1000000.0
pi-fciesla,1000000.0
pi-svaikunt,1000000.0
pi-kite,1000000.0
pi-ishanu,1000000.0
pi-gagalli,1000000.0
pi-whu5,1000000.0
pi-taddy,1000000.0
pi-mlcoleman,950000.0
pi-abbot,900000.0
pi-rossc,800000.0
pi-jozik,750000.0
pi-akonigl,700000.0
pi-kravtsov,600000.0
pi-fabrycky,506000.0
pi-kazutaka,500000.0
pi-dholz,500000.0
pi-aachien,500000.0
pi-burhan,488000.0
pi-neiman,470000.0
pi-ehurst,451000.0
pi-vzhorin,400000.0
pi-tintelnot,400000.0
pi-nicho,350000.0
pi-collar,289500.0
pi-sibener,200000.0
pi-yaliamit,200000.0
pi-rtp1,184000.0
pi-mstephens,183000.0
pi-rjlalond,155000.0
pi-gilbertjack,120000.0
pi-wtang,100000.0
pi-drm7,100000.0
pi-tas1,100000.0
pi-nbrunel,100000.0
pi-sdodelso,100000.0
pi-gmatvos,100000.0
pi-jinbo,100000.0
pi-trsosnic,100000.0
pi-jagoldsm,100000.0
pi-levin,100000.0
pi-bkeenan,100000.0
pi-mkolar,100000.0
pi-wenbinlin,95000.0
pi-aaz,80000.0
pi-rkessler,76000.0
pi-bkelly0,60000.0
pi-khanna7,60000.0
pi-tokmakoff,55000.0
pi-uschmid,54000.0
pi-aclyu,52000.0
pi-cobey,52000.0
pi-moyer,52000.0
pi-skeedy,51000.0
pi-rrock,50000.0
pi-stin,50000.0
pi-jacobbean,50000.0
pi-pascualmm,50000.0
pi-dvtalapin,50000.0
pi-rwg,50000.0
pi-sshahul,50000.0
pi-ejadams,50000.0
pi-jfrieman,50000.0
pi-pchintag,50000.0
pi-jschnei1,50000.0
pi-cosar,50000.0
pi-dhooper,50000.0
pi-arzhetsky,49000.0
pi-cpel,49000.0
pi-gdwyer,48000.0
pi-richardjeanso,45000.0
pi-btian,45000.0
pi-kkawaji,45000.0
pi-wtmirvine,43000.0
pi-liantaow,41000.0
pi-dyork,36000.0
pi-dpope,36000.0
pi-weyl,30000.0
pi-rbgramacy,30000.0
pi-wilde,24000.0
pi-sepalmer,21000.0
pi-wilsonp,10000.0
pi-jevans,10000.0
pi-rree,5000.0
