,cycle,unit,Allocation,Allocation_Portion,Consumed,Comsumed_portion
0,2013,BSD,1.31,0.1416982152514873,2.2206357800000003,0.12921605704443098
1,2013,Booth,0.205,0.022174148188209838,0.50725394,0.02951648110751974
2,2013,CI,0.55,0.05949161709031909,0.26850193999999994,0.015623796710859252
3,2013,IME,2.0,0.21633315305570577,5.74729137,0.33442779595170075
4,2013,Others,0.05,0.005408328826392644,0.25980854,0.01511793848753996
5,2013,PSD,5.13,0.5548945375878853,8.18195605,0.4760979306979495
6,2014,BSD,3.939,0.15250300050331023,3.0505304000000004,0.12181496421372577
7,2014,Booth,3.581,0.13864261101862246,0.8290348399999999,0.03310534107987642
8,2014,CI,1.45,0.056138449030159895,1.2036682100000005,0.04806534625137628
9,2014,IME,1.48,0.05729993418250803,6.91951197,0.2763126382880816
10,2014,Others,1.0,0.03871617174493786,1.59926162,0.06386233587729041
11,2014,PSD,14.379,0.5566998335204615,11.440321870000002,0.45683937428964955
12,2015,BSD,6.154,0.14104756720335562,4.102389079999998,0.15036420753482674
13,2015,Booth,4.965,0.11379609541187205,1.4699513700000002,0.05387789128591943
14,2015,CI,3.024,0.069309041797684,1.47882703,0.054203209425233635
15,2015,IME,3.0,0.06875897003738493,5.498667089999999,0.2015417609988573
16,2015,Others,1.902,0.043593187003702044,1.49420497,0.05476685458821708
17,2015,PSD,24.585671,0.5634951385460012,13.238976459999996,0.4852460761669457
18,2016,BSD,14.941,0.28879101019350506,5.23566983,0.1958154300298914
19,2016,Booth,5.385775,0.10410035492436413,4.747053920000002,0.1775410663586252
20,2016,CI,2.294,0.044340176519904996,0.8636872599999998,0.032302130905805915
21,2016,IME,4.75,0.09181161223607182,2.80583583,0.10493899873069865
22,2016,Others,4.4671,0.08634350589889608,2.1005252000000003,0.07856019548249926
23,2016,PSD,19.8985,0.38461334022725785,10.985007659999999,0.41084217849247967
24,2017,BSD,19.838381,0.23541332281861252,10.992230789999997,0.17224912807917986
25,2017,Booth,8.534344,0.10127329841669486,2.66340769,0.041735809690171426
26,2017,CI,2.480508,0.029435095059327218,1.8659605700000002,0.02923975008831029
27,2017,IME,9.618487,0.1141383455211203,13.931184570000003,0.21830276684835012
28,2017,Others,6.262881,0.07431884822796553,5.65120643,0.08855485285557356
29,2017,PSD,37.535825,0.4454210899562796,28.71189635000002,0.4499176924384147
30,2018,BSD,25.522911,0.2255629431464954,14.788779016666664,0.2108577486392577
31,2018,Booth,12.987813,0.11478194338084372,8.8554298,0.12626032133935153
32,2018,CI,5.129563,0.04533336057690936,2.3046302833333336,0.03285931532561722
33,2018,IME,11.164758,0.0986703935925796,14.096124916666666,0.2009819175143789
34,2018,Others,11.904631,0.10520914348026392,7.102156966666666,0.10126223583341458
35,2018,PSD,46.442381,0.41044221582290813,22.989163370000014,0.3277784613479801
